                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83442,                0.87037,                      1,                0.74385,             0.00023205,             0.00023205,             0.00023205
                      2,                0.30695,                0.91481,                      1,                0.63828,             0.00042352,             0.00042352,             0.00042352
                      3,                0.21011,                0.92222,                      1,                0.63232,             0.00056786,             0.00056786,             0.00056786
                      4,                 0.1707,                0.94444,                      1,                0.61738,             0.00050194,             0.00050194,             0.00050194
                      5,                0.13445,                0.95185,                      1,                0.60449,             0.00043126,             0.00043126,             0.00043126
                      6,                0.11798,                0.94815,                      1,                0.63086,             0.00036057,             0.00036057,             0.00036057
                      7,                0.09649,                0.96296,                      1,                0.61963,             0.00028988,             0.00028988,             0.00028988
                      8,                 0.0906,                0.95926,                      1,                0.59414,              0.0002192,              0.0002192,              0.0002192
                      9,                0.09442,                0.96667,                      1,                 0.5958,             0.00014851,             0.00014851,             0.00014851
                     10,                0.07431,                0.96296,                      1,                0.59932,             7.7826e-05,             7.7826e-05,             7.7826e-05
